source,target,probability_mean,probability_std,numeric_score_target,known_positive,source_type,target_type,score_final,symbolic_confidence,sym_base_score,path_length,sym_category,neurosymbolic_score
_:b24,bonusPoints,0.08955667128213537,0.16299030839861095,0.0,False,Class,BonusPoints,0.0716453370257083,0.10189130203804733,0.14285714285714285,7,indirect,0.09757418127347814
DataTypes,Quizventure,0.08954607335841147,0.16315199741204942,0.0,False,IndexKey,GameElementResource,0.07163685868672919,0.0,0.0,-1,rejected,0.0
DataTypes,Game,0.08954607335841147,0.16315199741204942,0.0,False,IndexKey,GameElementResource,0.07163685868672919,0.0,0.0,-1,rejected,0.0
DataTypes,Block_Game,0.08954607335841147,0.16315199741204942,0.0,False,IndexKey,GameElementResource,0.07163685868672919,0.0,0.0,-1,rejected,0.0
DataTypes,Interactive_Content_–_H5P,0.08954607335841147,0.16315199741204942,0.0,False,IndexKey,GameElementResource,0.07163685868672919,0.0,0.0,-1,rejected,0.0
Audience,Motrain,0.08952222810822312,0.15961316477326584,0.0,False,Class,GameElementResource,0.0716177824865785,0.07189130203804733,0.1,10,indirect,0.07806212616260885
_:b30,bonusPoints,0.08951682304946099,0.16301083753589257,0.0,False,Class,BonusPoints,0.07161345843956879,0.10189130203804733,0.14285714285714285,7,indirect,0.09756023439204212
designedWithObjective,bonusPoints,0.0894479340277577,0.16302865014432405,0.0,False,TransitiveProperty,BonusPoints,0.07155834722220616,0.17689130203804734,0.25,4,indirect,0.14628612323444598
_:b27,bonusPoints,0.08937411423637334,0.16306194555958203,0.0,False,Restriction,BonusPoints,0.07149929138909868,0.118557968704714,0.16666666666666666,6,indirect,0.10834361964079477
RFK_GE_TinyStash,Motrain,0.08931652520123239,0.15832941110893373,0.0,False,ReferenceKey,GameElementResource,0.07145322016098592,0.14189130203804734,0.2,5,indirect,0.12349013014516211
JavaSingleInheritance,bonusPoints,0.08927926502206693,0.1631500979829733,0.0,False,IndexKey,BonusPoints,0.07142341201765355,0.06552766567441097,0.09090909090909091,11,indirect,0.07384072544609056
IK_GE_Motrain,bonusPoints,0.089270020148422,0.16315480085491482,0.0,False,IndexKey,BonusPoints,0.0714160161187376,0.06552766567441097,0.09090909090909091,11,indirect,0.07383748974031483
JavaExtend,bonusPoints,0.08926719120104233,0.1631562400706359,0.0,False,IndexKey,BonusPoints,0.07141375296083387,0.06552766567441097,0.09090909090909091,11,indirect,0.07383649960873195
TaskJavaClassesMethod,bonusPoints,0.08926369541161769,0.16315801862290114,0.0,False,IndexKey,BonusPoints,0.07141095632929416,0.06552766567441097,0.09090909090909091,11,indirect,0.07383527608243333
JavaStatic,bonusPoints,0.08926233430292951,0.16315871113886962,0.0,False,IndexKey,BonusPoints,0.07140986744234361,0.06552766567441097,0.09090909090909091,11,indirect,0.07383479969439247
JavaThis,bonusPoints,0.08926167172825819,0.16315904825406,0.0,False,IndexKey,BonusPoints,0.07140933738260656,0.06552766567441097,0.09090909090909091,11,indirect,0.0738345677932575
JavaConstructors,bonusPoints,0.0892614019848532,0.16315918549931074,0.0,False,IndexKey,BonusPoints,0.07140912158788257,0.06552766567441097,0.09090909090909091,11,indirect,0.07383447338306576
TaskJavaClassesObjects,bonusPoints,0.0892591560217921,0.1631603282649832,0.0,False,IndexKey,BonusPoints,0.07140732481743368,0.06552766567441097,0.09090909090909091,11,indirect,0.07383368729599438
JavaAccessModifiers,bonusPoints,0.08925824616759578,0.16316079121757845,0.0,False,IndexKey,BonusPoints,0.07140659693407662,0.06552766567441097,0.09090909090909091,11,indirect,0.07383336884702565
JavaPackages,bonusPoints,0.08925786098121605,0.16316098721023736,0.0,False,IndexKey,BonusPoints,0.07140628878497284,0.06552766567441097,0.09090909090909091,11,indirect,0.07383323403179275
JavaArrayOfInstances,bonusPoints,0.08925769799575071,0.16316107014173756,0.0,False,IndexKey,BonusPoints,0.07140615839660057,0.06552766567441097,0.09090909090909091,11,indirect,0.07383317698687988
JavaClassInstance,bonusPoints,0.08925762900527925,0.1631611052460526,0.0,False,IndexKey,BonusPoints,0.0714061032042234,0.06552766567441097,0.09090909090909091,11,indirect,0.07383315284021487
_:b13,bonusPoints,0.08925438278310127,0.1631247976382789,0.0,False,Restriction,BonusPoints,0.07140350622648102,0.0,0.0,-1,rejected,0.0
_:b9,bonusPoints,0.08925438278310127,0.1631247976382789,0.0,False,Restriction,BonusPoints,0.07140350622648102,0.0,0.0,-1,rejected,0.0
_:b14,bonusPoints,0.08925438278310127,0.1631247976382789,0.0,False,Restriction,BonusPoints,0.07140350622648102,0.0,0.0,-1,rejected,0.0
JavaStrings,bonusPoints,0.08925375398433852,0.16316307702451094,0.0,False,IndexKey,BonusPoints,0.07140300318747082,0.06552766567441097,0.09090909090909091,11,indirect,0.07383179658288562
JavaIf,bonusPoints,0.08922028739071475,0.1631801109773351,0.0,False,IndexKey,BonusPoints,0.0713762299125718,0.06552766567441097,0.09090909090909091,11,indirect,0.0738200832751173
taskJavaBasics,bonusPoints,0.08917256085704982,0.16320443389966452,0.0,False,IndexKey,BonusPoints,0.07133804868563985,0.06552766567441097,0.09090909090909091,11,indirect,0.07380337898833457
JavaForWhile,bonusPoints,0.08916529660655813,0.16320813499575224,0.0,False,IndexKey,BonusPoints,0.0713322372852465,0.06552766567441097,0.09090909090909091,11,indirect,0.07380083650066248
IK_GE_LevelUp,bonusPoints,0.08916020774150224,0.16321072797990913,0.0,False,IndexKey,BonusPoints,0.0713281661932018,0.07189130203804733,0.1,10,indirect,0.07793541903425655
Tom,Motrain,0.08913675252972231,0.1597294479879375,0.0,False,Learner,GameElementResource,0.07130940202377785,0.0796690798158251,0.1111111111111111,9,indirect,0.08298276526568912
Sofia,Motrain,0.08913675252972231,0.1597294479879375,0.0,False,Learner,GameElementResource,0.07130940202377785,0.0796690798158251,0.1111111111111111,9,indirect,0.08298276526568912
_:b10,bonusPoints,0.08910819505159948,0.16320161570405078,0.0,False,Restriction,BonusPoints,0.07128655604127958,0.10189130203804733,0.14285714285714285,7,indirect,0.09741721459279058
JavaArrays,bonusPoints,0.08910761862700818,0.16323753560323415,0.0,False,IndexKey,BonusPoints,0.07128609490160655,0.06552766567441097,0.09090909090909091,11,indirect,0.07378064920782
