source,target,probability_mean,probability_std,numeric_score_target,known_positive,source_type,target_type,score_final,symbolic_confidence,sym_base_score,path_length,sym_category,neurosymbolic_score
bonus resource for lesson 7 Event Handler and Listener,BLockGame,0.0801920695211539,0.16441146651296476,0.12935257077791257,False,unknown,Badge,0.09002416977250564,0.18472893233064042,0.16666666666666666,6,indirect,0.14814103034732012
"index key for the resource ""Java FX""",BLockGame,0.08028604939853808,0.1643532795366595,0.12935257077791257,False,unknown,Badge,0.09009935367441298,0.18464335014258365,0.16666666666666666,6,indirect,0.1481182948821677
designLesson,Stash,0.23373689402499886,0.15651466534865502,0.9172442572270822,False,ObjectProperty,Reward,0.3704383666654155,0.10189130203804733,0.14285714285714285,7,indirect,0.14803725923348038
bonus resource for lesson 8 Exception Handling,BLockGame,0.07951263995088578,0.16478141755573383,0.12935257077791257,False,unknown,Badge,0.08948062611629115,0.18460689086037355,0.16666666666666666,6,indirect,0.14782390304205284
ressource bonus pour la leçon 8 Gestion des exceptions,BLockGame,0.07951263995088578,0.16478141755573383,0.12935257077791257,False,unknown,Badge,0.08948062611629115,0.18460689086037355,0.16666666666666666,6,indirect,0.14782390304205284
bonus resource for lesson 9 Input and Output Stream,BLockGame,0.07950146238676807,0.1647882658025936,0.12935257077791257,False,unknown,Badge,0.08947168406499698,0.1844891266317184,0.16666666666666666,6,indirect,0.14774344414598578
ressource bonus pour la leçon 9 Flux d'entrée et de sortie,BLockGame,0.07950146238676807,0.1647882658025936,0.12935257077791257,False,unknown,Badge,0.08947168406499698,0.1844891266317184,0.16666666666666666,6,indirect,0.14774344414598578
n,Level_Up,0.2738249458826768,0.125309254272592,1.0,False,unknown,Level,0.4190599567061415,0.0796690798158251,0.1111111111111111,9,indirect,0.1476236329392232
Event_Types,bonusPoints,0.2878190823121738,0.08414898153505665,0.0,False,GamifiedResource,BonusPoints,0.23025526584973904,0.07189130203804733,0.1,10,indirect,0.1474660251339916
Exception_Types,bonusPoints,0.2874380811021213,0.08539235901211048,0.0,False,GamifiedResource,BonusPoints,0.22995046488169707,0.07189130203804733,0.1,10,indirect,0.14733267471047323
Task_about_Event_Handler_and_Listener,BLockGame,0.20035810840758678,0.15772681893081078,0.12935257077791257,False,GamifiedResource,Badge,0.18615700088165194,0.118557968704714,0.16666666666666666,6,indirect,0.14718801760071948
