"source","target","relation","weight","symmetric","transitive"
"hasgamificationExperienceLevel","Literal","range","0.629032","0","0"
"indexKey","Resource","domain","1.0","0","0"
"indexKey","has_Place","subPropertyOf","0.145161","0","0"
"isComposedOf","Audience","domain","1.0","0","0"
"isComposedOf","Person","range","0.629032","0","0"
"isMoreExpertThan","Teacher","domain","1.0","0","0"
"isMoreExpertThan","Teacher","range","0.629032","0","0"
"isRelevantFor","GamifiedResource","domain","1.0","0","0"
"isRelevantFor","Teacher","range","0.629032","0","0"
"offersCourse","EducationalInstitution","domain","1.0","0","0"
"offersCourse","Course","range","0.629032","0","0"
"onlineCourse","Course","subClassOf","0.548387","0","0"
"requiresKnowledge","GamificationKnowledge","domain","1.0","0","0"
"requiresKnowledge","TechnologicalKnowledge","range","0.629032","0","0"
"taskJavaBasics","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"Person","Person","subClassOf","0.548387","0","0"
"ReflexiveProperty","Property","subClassOf","0.548387","0","0"
"cardinality","Class","domain","1.0","0","0"
"hasSelf","Resource","domain","1.0","0","0"
"hasValue","Class","domain","1.0","0","0"
"oneOf","Resource","domain","1.0","0","0"
"adr","Address","range","0.629032","0","0"
"key","hasKey","subPropertyOf","0.145161","0","0"
"n","Error2","domain","1.0","0","0"
"n","VCard","domain","1.0","0","0"
"wasAssociatedWith","Agent","range","0.629032","0","0"
"Group","Group","subClassOf","0.548387","0","0"
"Image","Document","subClassOf","0.548387","0","0"
"accountServiceHomepage","Resource","range","0.629032","0","0"
"depiction","Document","range","0.629032","0","0"
"depiction","Image","range","0.629032","0","0"
"depicts","ImageObject","domain","1.0","0","0"
"depicts","Resource","domain","1.0","0","0"
"familyName","SpatialThing","domain","1.0","0","0"
"family_name","Agent","domain","1.0","0","0"
"family_name","Agent","domain","1.0","0","0"
"firstName","Agent","domain","1.0","0","0"
"geekcode","Agent","domain","1.0","0","0"
"icqChatID","Agent","domain","1.0","0","0"
"icqChatID","Agent","domain","1.0","0","0"
"img","Resource","range","0.629032","0","0"
"interest","Document","range","0.629032","0","0"
"isPrimaryTopicOf","Document","range","0.629032","0","0"
"lastName","Agent","domain","1.0","0","0"
"lastName","Agent","domain","1.0","0","0"
"made","Agent","domain","1.0","0","0"
"member","Agent","domain","1.0","0","0"
"member","Agent","range","0.629032","0","0"
"msnChatID","Agent","domain","1.0","0","0"
"msnChatID","Agent","domain","1.0","0","0"
"openid","Agent","domain","1.0","0","0"
"pastProject","Person","domain","1.0","0","0"
