"source","target","relation","weight","symmetric","transitive"
"JavaConstructors","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaDelimiters","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaEventListener","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaEventTypes","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaEvents","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaExceptionTypes","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaExceptions","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaExtend","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaFX","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaFiles","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaForWhile","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaFunctions","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaGUIElements","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaGUILinkedScreens","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaIOStreams","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaIf","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaInheritanceComposition","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaMultiInheritance","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaOverloadedConstructors","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaOverloading","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaOverriding","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaPackages","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaParentClass","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaSingleInheritance","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaStatic","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaStaticFunctions","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaStrings","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaSuper","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaTaskEventHandlerListener","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaThis","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaTryCatch","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"JavaVariables","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"Java_Basics","Arithmetic_operations","contains","0.072581","0","0"
"Java_Basics","Control_Statements","contains","0.072581","0","0"
"Java_Basics","Functions","contains","0.072581","0","0"
"Java_Basics","Loops","contains","0.072581","0","0"
"Java_Basics","Strings","contains","0.072581","0","0"
"Java_Basics","Task_about_Java_Basics","contains","0.072581","0","0"
"Java_Basics","Variables","contains","0.072581","0","0"
"Java_FX","GUI_Elements","hasPreResource","0.298387","0","0"
"JavafunctionTypes","OOPCourseCommunity","is_visible_for","0.435484","0","0"
"Leaderboard","GameElementResource","subClassOf","0.548387","0","0"
"Level","GameElementResource","subClassOf","0.548387","0","0"
"LevelGE","IK_GE_LevelUp","indexed_by","0.427419","0","0"
"Level_Up","LevelGE","has_reference","0.266129","0","0"
"Loops","RFK_L1_R5","has_reference","0.266129","0","0"
"Loops","BLockGame","containsGameElement","0.120968","0","1"
"Loops","Control_Statements","hasPreResource","0.298387","0","0"
"MathCoursesCommunity","TeacherGroupB","has_usergroup","0.008065","0","0"
"Mike","Mike_23","has_user_account","0.024194","0","0"
"Mike","Expert","hasGamificationExperience","0.024194","0","0"
"Mike_23","TeacherGroupB","member_of","0.024194","0","0"
"Multi-level_inheritance","RFK_L4_R3","has_reference","0.266129","0","0"
"Multi-level_inheritance","Level_Up","containsGameElement","0.120968","0","1"
"Multi-level_inheritance","Single_level_inheritance","hasPreResource","0.298387","0","0"
"OOPTeachers","OOPCourseCommunity","usergroup_of","0.016129","0","0"
"ObjectOrientedProgramming","Class_Methods_and_Constructors","consists_of","0.008065","0","0"
"ObjectOrientedProgramming","Classes_and_Objects","consists_of","0.008065","0","0"
"ObjectOrientedProgramming","Event_Handler_and_Listener","consists_of","0.008065","0","0"
"ObjectOrientedProgramming","Exception_Handling","consists_of","0.008065","0","0"
"ObjectOrientedProgramming","Graphical_User_Interface","consists_of","0.008065","0","0"
"ObjectOrientedProgramming","Inheritance","consists_of","0.008065","0","0"
"ObjectOrientedProgramming","Input_and_Output_Stream","consists_of","0.008065","0","0"
"ObjectOrientedProgramming","Java_Basics","consists_of","0.008065","0","0"
"ObjectOrientedProgramming","Polymorphism","consists_of","0.008065","0","0"
"ObjectOrientedProgramming","Audience_A","hasTargetAudience","0.008065","0","0"
"Overloaded_constructors","Level_Up","containsGameElement","0.120968","0","1"
"Overloading","Level_Up","containsGameElement","0.120968","0","1"
"Overloading","Arguments_and_parameters","hasPreResource","0.298387","0","0"
"Overriding","Level_Up","containsGameElement","0.120968","0","1"
"Overriding","Overloading","hasPreResource","0.298387","0","0"
"Packages","RFK_L2_R4","has_reference","0.266129","0","0"
"Packages","Array_of_instances","hasPreResource","0.298387","0","0"
"Parent_classes","RFK_L4_R7","has_reference","0.266129","0","0"
"PedagogicalExperience","Experience","subClassOf","0.548387","0","0"
"PedagogicalKnowledge","Knowledge","subClassOf","0.548387","0","0"
"PedagogicalObjective","Objective","subClassOf","0.548387","0","0"
"Points","GameElementResource","subClassOf","0.548387","0","0"
"Polymorphism","Arguments_and_parameters","contains","0.072581","0","0"
"Polymorphism","Overloaded_constructors","contains","0.072581","0","0"
"Polymorphism","Overloading","contains","0.072581","0","0"
"Polymorphism","Overriding","contains","0.072581","0","0"
"Polymorphism","Task_about_Polymorphism","contains","0.072581","0","0"
"Polymorphism","Inheritance","hasPreLesson","0.064516","0","0"
"Princeton_University","ObjectOrientedProgramming","offersCourse","0.008065","0","1"
"ProgressBar","GameElementResource","subClassOf","0.548387","0","0"
"RFK_GE_TinyStash","IK_GE_TinyStash","indexed_by","0.427419","0","0"
"RFK_L1_R1","JavaVariables","indexed_by","0.427419","0","0"
"RFK_L1_R2","JavaStrings","indexed_by","0.427419","0","0"
"RFK_L1_R3","JavaFunctions","indexed_by","0.427419","0","0"
"RFK_L1_R4","JavaIf","indexed_by","0.427419","0","0"
"RFK_L1_R5","JavaForWhile","indexed_by","0.427419","0","0"
"RFK_L1_R6","taskJavaBasics","indexed_by","0.427419","0","0"
"RFK_L1_R7","JavaArithmeticOperations","indexed_by","0.427419","0","0"
"RFK_L2_R1","JavaClassAttributesFunctions","indexed_by","0.427419","0","0"
"RFK_L2_R2","JavaClassInstance","indexed_by","0.427419","0","0"
"RFK_L2_R3","JavaArrayOfInstances","indexed_by","0.427419","0","0"
"RFK_L2_R4","JavaPackages","indexed_by","0.427419","0","0"
"RFK_L2_R5","JavaAccessModifiers","indexed_by","0.427419","0","0"
"RFK_L2_R6","TaskJavaClassesObjects","indexed_by","0.427419","0","0"
"RFK_L2_R7","JavaArrays","indexed_by","0.427419","0","0"
"RFK_L3_R1","JavaFunctions","indexed_by","0.427419","0","0"
"RFK_L3_R2","JavaConstructors","indexed_by","0.427419","0","0"
"RFK_L3_R3","JavaThis","indexed_by","0.427419","0","0"
"RFK_L3_R4","JavaStatic","indexed_by","0.427419","0","0"
"RFK_L3_R5","TaskJavaClassesMethod","indexed_by","0.427419","0","0"
"RFK_L3_R6","JavaStaticFunctions","indexed_by","0.427419","0","0"
"RFK_L4_R1","JavaExtend","indexed_by","0.427419","0","0"
"RFK_L4_R2","JavaSingleInheritance","indexed_by","0.427419","0","0"
"RFK_L4_R3","JavaMultiInheritance","indexed_by","0.427419","0","0"
"RFK_L4_R4","JavaSuper","indexed_by","0.427419","0","0"
"RFK_L4_R5","JavaInheritanceComposition","indexed_by","0.427419","0","0"
"RFK_L4_R6","TaskJavaInheritance","indexed_by","0.427419","0","0"
"RFK_L4_R7","JavaParentClass","indexed_by","0.427419","0","0"
"RFK_L5_R1","JavaArgumentsParameters","indexed_by","0.427419","0","0"
"RFK_L5_R2","JavaOverloading","indexed_by","0.427419","0","0"
"RFK_L5_R3","JavaOverriding","indexed_by","0.427419","0","0"
"RFK_L5_R4","TaskJavaPolymorphism","indexed_by","0.427419","0","0"
"RFK_L5_R5","JavaOverloadedConstructors","indexed_by","0.427419","0","0"
"RFK_L6_R1","JavaGUIElements","indexed_by","0.427419","0","0"
"RFK_L6_R2","JavaFX","indexed_by","0.427419","0","0"
"RFK_L6_R3","TaskJavaGUI","indexed_by","0.427419","0","0"
"RFK_L6_R4","JavaGUILinkedScreens","indexed_by","0.427419","0","0"
"RFK_L7_R1","JavaEvents","indexed_by","0.427419","0","0"
"RFK_L7_R2","JavaEventListener","indexed_by","0.427419","0","0"
"RFK_L7_R3","JavaTaskEventHandlerListener","indexed_by","0.427419","0","0"
"RFK_L7_R4","JavaEventTypes","indexed_by","0.427419","0","0"
"RFK_L8_R1","JavaTryCatch","indexed_by","0.427419","0","0"
"RFK_L8_R2","JavaExceptions","indexed_by","0.427419","0","0"
"RFK_L8_R3","TaskJavaExceptions","indexed_by","0.427419","0","0"
"RFK_L8_R4","JavaExceptionTypes","indexed_by","0.427419","0","0"
"RFK_L9_R1","JavaFiles","indexed_by","0.427419","0","0"
"RFK_L9_R2","JavaIOStreams","indexed_by","0.427419","0","0"
"RFK_L9_R3","JavaDelimiters","indexed_by","0.427419","0","0"
"RF_GE_BloackGame","IK_GE_BlockGame","indexed_by","0.427419","0","0"
"RF_GE_Motrain","IK_GE_Motrain","indexed_by","0.427419","0","0"
"RF_GE_STash","IK_GE_stash","indexed_by","0.427419","0","0"
"ReferenceKey1","DataTypes","indexed_by","0.427419","0","0"
"Reflective","ProcessingPole","subClassOf","0.548387","0","0"
"Reward","GameElementResource","subClassOf","0.548387","0","0"
"Sara","Sara_12","has_user_account","0.024194","0","0"
"Sara","ObjectOrientedProgramming","teaches","0.008065","0","0"
"Sara","Princeton_University","works_in","0.008065","0","0"
"Sara","Participation","hasBehaviouralObjective","0.008065","0","0"
"Sara","Beginner","hasGamificationExperience","0.024194","0","0"
"Sara","PO1","hasObjective","0.008065","0","1"
